title,description,image,type,rating,year
Cool Devices,"Welcome to a series of tapes the likes of which you've never seen before! Strong stories, highly charged with erotic content are all presented without Japan's export censorship (as they were intended to be seen).  They do not follow a single story. They break all the rules. They are Cool Devices. They aren't for kids, but they might be for you if you have the guts. Welcome to a new world... and be sure to wash your hands when you're done.  (Source: Official Site)",https://cdn.myanimelist.net/images/anime/1505/103904l.jpg,Anime,6.21,"Apr 25, 1995 to Nov 28, 1997"
Yu☆Gi☆Oh! Zexal Special,"Recap of first 8 episodes of the second season, narrated by Yuma and Astral.",https://cdn.myanimelist.net/images/anime/9/44712l.jpg,Anime,6.29,"Sep 17, 2012"
Wind: A Breath of Heart Specials,"Four DVD exclusive episodes that were included in the DVD release of the series. They serve as episodes 9.5, 10.4, 10.8, and 12.5.",https://cdn.myanimelist.net/images/anime/1895/143594l.jpg,Anime,6.09,"Dec 10, 2004"
Kizumonogatari III: Reiketsu-hen,"After helping revive the legendary vampire Kiss-shot Acerola-orion Heart-under-blade, Koyomi Araragi has become a vampire himself and her servant. Kiss-shot is certain she can turn him back into a human, but only once regaining her full power.   Araragi has hunted down the three vampire hunters that defeated Kiss-shot and retrieved her limbs to return her to full strength. However, now that Araragi has almost accomplished what he’s been fighting for this whole time, he has to consider if this is what he really wants. Once he revives this powerful immortal vampire, there is no telling what she might do, and there would be no way of stopping her.  But there is more to the story that Araragi doesn’t understand. If a newborn vampire like him could defeat the hunters, how did they overpower Kiss-shot? Can he trust her to turn him back to a human? And how is that even possible in the first place?  Araragi is at his limit but he must come to a decision, and it may not be possible to resolve this situation without doing something he’ll regret…  [Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/1084/112813l.jpg,Anime,8.78,"Jan 6, 2017"
Zumomo to Nupepe,,https://cdn.myanimelist.net/images/anime/1881/133698l.jpg,Anime,6.53,"Apr 3, 2012 to Feb 26, 2013"
Miyazawa Kenji Collection - The Acorns and the Wildcat,"The Acorns and the Wildcat is a unique short film in picture-book format from the creator of Night on the Galactic Railroad and Gauche the Cellist. Unusually for an anime, a narrator reads Kenji's story aloud while the action is played out on the screen by a succession of warm and evocative illustrations brought to life by subtle touches of animation. If the film feels somehow familiar yet you can't put your finger on the reason why, it's probably the sumptuously minimalist animation by Yasuhiro Nagura, who was the animation director of Mamoru Oshii's artsy 1986 feature Angel's Egg. That, and Kenji's wildcat is said to have been the inspiration for Miyazaki's Panda/Totoro creature. The idea of reading Kenji's story aloud instead of playing it out as a drama is quite refreshing, and Kenji's magical language and narrative style are entirely sufficient to sustain interest. Combined with the spacey music and breathtaking art, the result is a pleasantly unassuming little gem of a film.  (Source: pelleas.net)",https://cdn.myanimelist.net/images/anime/1784/134346l.jpg,Anime,5.81,"Sep 30, 1988"
Wo Jiao Bai Xiaofei,"Bai Xiaofei lived a dull, boring life. That all changes when, on his way to find his girlfriend, he meets a mutant with unprecedented power. As an ordinary human being, Xiaofei felt totally out of his depth; there was no way he could defeat powerful enemies and track down the cause of these strange mutations. After giving himself a shot of body enhancer bought online, however, he gradually reaches his potential.  (Source: Haoliners.net)",https://cdn.myanimelist.net/images/anime/5/80257l.jpg,Anime,6.03,"Apr 16, 2015 to Mar 10, 2016"
Kobe to Watashi,The short follows a college student named Ai-chan as she wanders aimlessly around Kobe. An unusual figure appears to help guide her around the city.  (Source: ANN),https://cdn.myanimelist.net/images/anime/2/24755l.jpg,Anime,4.53,"May 9, 2010"
Kodanuki Ponpo,"A music video for the song ""Kodanuki Ponpo"" by Atomu Shimojou. Aired as part of NHK's Minna no Uta program.",https://cdn.myanimelist.net/images/anime/11/77808l.jpg,Anime,5.35,"Dec, 1983"
KAIJU GIRLS,"These shorts are part of the Ultra Monsters Anthropomorphic Project, a moe anthropomorphism project made by Tsuburaya Productions based on past monsters/aliens that have appeared in Ultra Series.(Source: Wikipedia)",https://myanimelist.cdn-dena.com/images/anime/4/82138.jpg,Anime,6.0,"Sep 27, 2016 to Dec 13, 2016"
"Wake Up, Girl Zoo! Miyagi PR de Go!","Wake Up, Girl Zoo! Miyagi PR de Go! was first screened at the 4th Taipei International Comics & Animation Festival. It was screened in Japan for the first time at the Wake Up, Girls! Ten exhibition in Sendai Airport on March 27, 2016.",https://myanimelist.cdn-dena.com/images/anime/8/79534.jpg,Anime,5.84,"Feb 11, 2016"
Ice,"By A.D. 2010, all men have died off quickly due to a dramatic change in the environment and an unknown contaminant. The population decreased to the lowest number ever seen...until only the women were left alive.  They live huddled in small corners of a world mostly reclaimed by nature. There are those who accept their inevitable extinction and live a carefree life... There are those who try to continue on the race with the help of science... It is a society of constant conflict over their differences of principles and policies.  The story takes place in the center of Tokyo. It is one of the places left for them. The conflict over the specimen of ""ICE"" and the chance it may provide to save humanity begins.   (Source: AnimeNfo)",https://cdn.myanimelist.net/images/anime/1/2329l.jpg,Anime,5.27,"May 25, 2007 to Sep 25, 2007"
Kattobase! Dreamers: Carp Tanjou Monogatari,,https://myanimelist.cdn-dena.com/images/anime/12/58007.jpg,Anime,4.88,"Jan 22, 1994"
Kamiusagi Rope x Boruto: Naruto Next Generations,"A 3-way collaboration between Kamiusagi Rope, Boruto: Naruto Next Generations, and TOHO Cinemas. The purpose is to promote a new TOHO theater opening up in Ueno on November 4, 2017. The collaboration video will also be available to view in TOHO Cinemas in Tokyo, Kanagawa, Chiba, and Saitama from Ocotober 21 - December 1.",https://cdn.myanimelist.net/images/anime/3/88377l.jpg,Anime,5.5,"Oct 12, 2017"
Katsudou Shashin,"The fragment was discovered in 2005, having been purchased with a private collection in Kyoto. The film was likely created between 1905 and 1911. If so, the film may be the oldest known piece of animation from Japan. ",https://myanimelist.cdn-dena.com/images/anime/6/79735.jpg,Anime,5.45,Not available
Sora no Arawashi,Short movie by Noburou Oofuji.,https://cdn.myanimelist.net/img/sp/icon/apple-touch-icon-256.png,Anime,6.31,"Apr 20, 1938"
Kirarin Revolution,"Kirari Tsukishima, a gluttonous 14-year-old beauty, is a girl who does not care about idols and the entertainment world because her mind is occupied by food. Her obsession with food only causes her to be clueless about love.  One day, after saving a turtle that is stranded in a tree, Kirari meets with a handsome and gentle boy named Seiji, who gives her ticket to a SHIPS (a popular idol group) concert to show his gratitude for her saving his pet. Kirari then storms off to the concert and runs into another boy, who tears up her ticket and warns her to stay away from Seiji because she and Seiji live in different worlds. The outraged Kirari then sneaks into the concert, only to discover that Seiji and the boy who tore her ticket, named Hiroto, are actually members of SHIPS.  Finally understanding the meaning of ""different worlds"" (Seiji is a popular idol while she is an average middle school student), Kirari refuses to give up. Filled with determination to be with Seiji, she declares that she will also become an idol.  (Source: Wikipedia)",https://cdn.myanimelist.net/images/anime/1089/116598l.jpg,Anime,7.09,"Apr 7, 2006 to Mar 27, 2009"
Persona 3 the Movie 3: Falling Down,"As the fall season nears its end, Chidori Yoshino, a member of Strega, abducts Junpei Iori. Meanwhile, Makoto Yuuki and the Specialized Extracurricular Execution Squad (SEES) annihilate the Arcana Hanged Man. Soon after, a mysterious playboy named Ryouji Mochizuki transfers into Gekkoukan High School's Class 2-F.  Supposedly having achieved their goal, the members of SEES believe they are free from the battle that has ruthlessly stolen away the lives of their loved ones. And yet, Tartarus and the Dark Hour continue to exist, undeterred by the extermination of the twelfth Shadow. Distraught by their apparent failure, SEES must cope with their personal struggles and discover whose sake they fight for. As Makoto and Junpei's journeys of self-discovery progress, Ryouji's identity and the reason behind Aegis's hate for him become clear.  [Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/8/72443l.jpg,Anime,7.6,"Apr 4, 2015"
Serendipity the Pink Dragon,Kona is a boy who has a friend: a pink dragon named Serendipity with a kind nature. They want to stop the evil captain who tries steal gold from their peaceful island.,https://cdn.myanimelist.net/images/anime/12/47013l.jpg,Anime,6.34,"Jul 1, 1983 to Dec 23, 1983"
Mazinger Z Movie: Infinity,"Mazinger Z Movie: Infinity made its worldwide premiere in Italian theaters on October 31, 2017, followed by France on November 22. It opened in theaters in Japan on January 13, 2018.",https://myanimelist.cdn-dena.com/images/anime/1611/90206.jpg,Anime,6.97,"Jan 13, 2018"
Zettai Bouei Leviathan: Mini Takibi Gekijou,A new special mini corner airing after the rebroadcast version of TV series.,https://cdn.myanimelist.net/images/anime/11/52413l.jpg,Anime,5.85,"Jul 7, 2013 to Sep 30, 2013"
Mermaid,"Music video animated by Sora Tsushima for the song Mermaid by Jin.  Note: There exists two versions of this song; one a self-cover by Jin on his official YouTube channel, and the other version with vocals by KAFU, which released on February 25, 2022.  (Source: AniList)",https://cdn.myanimelist.net/images/anime/1866/121971l.jpg,Anime,6.13,"Sep 21, 1964"
Detective Conan Movie 08: Magician of the Silver Sky,"After receiving a letter from the thief Kaitou Kid, famous actress Juri Maki seeks the help of private detective Kogorou Mouri to protect the Star Sapphire—the ""Jewel of Destiny,"" said to represent faith, fate, and hope. Thinking he has deciphered Kid's riddle, Kogorou personally shows up to the newly constructed space theater where Juri is acting in the play ""Josephine"" in order to catch Kid in the act.   The next day, Conan and the gang are invited by Juri to her holiday home, to celebrate the thwarting of Kid's plan and the success of the play. However, their triumph crumbles when a murder occurs during the flight there. Although unintentional, this sets off a series of events that escalate to catastrophic results. Conan and Kid, unlikely allies that they are, must work together to save both their friends and every other passenger aboard the plane.   [Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/2/20982l.jpg,Anime,8.05,"Apr 17, 2004"
